configuration_id,domain,pair,alpha,method,status,observed,finite_upper_bound,percent_of_bound,search_completed,construction_completed,count_scope,formula,source
hurricane:AL031854__AL011991:a0.5|CPS-2F,hurricane,AL031854__AL011991,0.5,CPS-2F,validated,5678.0,937890625.0,0.0006054010828821325,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL031854__AL011991:a0.5|CPS-3F,hurricane,AL031854__AL011991,0.5,CPS-3F,validated,522.0,390625.0,0.133632,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP021949__EP031949:a0.5|CPS-2F,hurricane,EP021949__EP031949,0.5,CPS-2F,validated,2828.0,937890625.0,0.0003015276967930029,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP021949__EP031949:a0.5|CPS-3F,hurricane,EP021949__EP031949,0.5,CPS-3F,validated,301.0,390625.0,0.077056,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__1d9q.d:a0.5|CPS-2F,protein,1o7j.a__1d9q.d,0.5,CPS-2F,validated,22004.0,433139344.0,0.005080120359604183,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__1d9q.d:a0.5|CPS-3F,protein,1o7j.a__1d9q.d,0.5,CPS-3F,validated,669.0,234256.0,0.28558500102452017,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__1hfj.c:a0.5|CPS-2F,protein,1o7j.a__1hfj.c,0.5,CPS-2F,validated,1273.0,433139344.0,0.0002939008006624307,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__1hfj.c:a0.5|CPS-3F,protein,1o7j.a__1hfj.c,0.5,CPS-3F,validated,42.0,234256.0,0.017929103203333106,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__1qd1.b:a0.5|CPS-2F,protein,1o7j.a__1qd1.b,0.5,CPS-2F,validated,18848.0,433139344.0,0.00435148648144972,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__1qd1.b:a0.5|CPS-3F,protein,1o7j.a__1qd1.b,0.5,CPS-3F,validated,563.0,234256.0,0.24033535960658425,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__4eca.d:a0.5|CPS-2F,protein,1o7j.a__4eca.d,0.5,CPS-2F,validated,2541.0,433139344.0,0.0005866472384000286,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
protein:1o7j.a__4eca.d:a0.5|CPS-3F,protein,1o7j.a__4eca.d,0.5,CPS-3F,validated,109.0,234256.0,0.04653029164674544,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
