case,pair,alpha,method,status,k,provenance,new_execution,latest_diagnostic_status
protein:1o7j.a__1d9q.d:a0.5,1o7j.a__1d9q.d,0.5,Independent continuous,time_limit,,graph_only_v1,False,
protein:1o7j.a__1d9q.d:a0.5,1o7j.a__1d9q.d,0.5,Independent discrete,optimal,20.0,output\paper_v1\graph_only_v2\attempts\C_8c679d9e32f84779ab0c2bea3386850e,True,optimal_independent_baseline
protein:1o7j.a__1d9q.d:a0.5,1o7j.a__1d9q.d,0.5,CPS-2F,other_resource_limit,,graph_only_v1,False,
protein:1o7j.a__1d9q.d:a0.5,1o7j.a__1d9q.d,0.5,CPS-3F,time_limit,,graph_only_v1,False,
protein:1o7j.a__1d9q.d:a1,1o7j.a__1d9q.d,1.0,Independent continuous,optimal,6.0,graph_only_v1,False,
protein:1o7j.a__1d9q.d:a1,1o7j.a__1d9q.d,1.0,Independent discrete,optimal,13.0,graph_only_v1,False,
protein:1o7j.a__1d9q.d:a1,1o7j.a__1d9q.d,1.0,CPS-2F,other_resource_limit,,graph_only_v1,False,
protein:1o7j.a__1d9q.d:a1,1o7j.a__1d9q.d,1.0,CPS-3F,optimal,13.0,graph_only_v1,False,
protein:1o7j.a__1hfj.c:a0.5,1o7j.a__1hfj.c,0.5,Independent continuous,optimal,16.0,graph_only_v1,False,
protein:1o7j.a__1hfj.c:a0.5,1o7j.a__1hfj.c,0.5,Independent discrete,optimal,20.0,graph_only_v1,False,
protein:1o7j.a__1hfj.c:a0.5,1o7j.a__1hfj.c,0.5,CPS-2F,optimal,16.0,graph_only_v1,False,
protein:1o7j.a__1hfj.c:a0.5,1o7j.a__1hfj.c,0.5,CPS-3F,optimal,20.0,graph_only_v1,False,
protein:1o7j.a__1hfj.c:a1,1o7j.a__1hfj.c,1.0,Independent continuous,optimal,5.0,graph_only_v1,False,
protein:1o7j.a__1hfj.c:a1,1o7j.a__1hfj.c,1.0,Independent discrete,optimal,5.0,graph_only_v1,False,
protein:1o7j.a__1hfj.c:a1,1o7j.a__1hfj.c,1.0,CPS-2F,other_resource_limit,,graph_only_v1,False,transition_budget_limit
protein:1o7j.a__1hfj.c:a1,1o7j.a__1hfj.c,1.0,CPS-3F,optimal,5.0,graph_only_v1,False,
hurricane:AL031854__AL011991:a0.5,AL031854__AL011991,0.5,Independent continuous,optimal,5.0,graph_only_v1,False,
hurricane:AL031854__AL011991:a0.5,AL031854__AL011991,0.5,Independent discrete,optimal,20.0,graph_only_v1,False,
hurricane:AL031854__AL011991:a0.5,AL031854__AL011991,0.5,CPS-2F,other_resource_limit,,graph_only_v1,False,transition_budget_limit
hurricane:AL031854__AL011991:a0.5,AL031854__AL011991,0.5,CPS-3F,optimal,20.0,graph_only_v1,False,
hurricane:AL031854__AL011991:a1,AL031854__AL011991,1.0,Independent continuous,optimal,4.0,graph_only_v1,False,
hurricane:AL031854__AL011991:a1,AL031854__AL011991,1.0,Independent discrete,optimal,16.0,graph_only_v1,False,
hurricane:AL031854__AL011991:a1,AL031854__AL011991,1.0,CPS-2F,other_resource_limit,,graph_only_v1,False,
hurricane:AL031854__AL011991:a1,AL031854__AL011991,1.0,CPS-3F,optimal,16.0,graph_only_v1,False,
hurricane:EP021949__EP031949:a0.5,EP021949__EP031949,0.5,Independent continuous,optimal,5.0,graph_only_v1,False,
hurricane:EP021949__EP031949:a0.5,EP021949__EP031949,0.5,Independent discrete,optimal,25.0,graph_only_v1,False,
hurricane:EP021949__EP031949:a0.5,EP021949__EP031949,0.5,CPS-2F,other_resource_limit,,graph_only_v1,False,
hurricane:EP021949__EP031949:a0.5,EP021949__EP031949,0.5,CPS-3F,optimal,25.0,graph_only_v1,False,
hurricane:EP021949__EP031949:a1,EP021949__EP031949,1.0,Independent continuous,optimal,4.0,graph_only_v1,False,
hurricane:EP021949__EP031949:a1,EP021949__EP031949,1.0,Independent discrete,optimal,15.0,graph_only_v1,False,
hurricane:EP021949__EP031949:a1,EP021949__EP031949,1.0,CPS-2F,other_resource_limit,,graph_only_v1,False,
hurricane:EP021949__EP031949:a1,EP021949__EP031949,1.0,CPS-3F,optimal,15.0,graph_only_v1,False,
